category  ,date                      ,driver_number ,flag            ,lap_number ,meeting_key ,message                                                                                                                                                           ,scope  ,sector ,session_key
Other     ,2024-06-09 18:14:15+00:00 ,              ,                ,         7 ,       1237 ,CAR 2 (SAR) TIME 1:58.326 DELETED - TRACK LIMITS AT TURN 6 LAP 6 14:12:33                                                                                         ,       ,       ,       9531
Other     ,2024-06-09 18:14:54+00:00 ,              ,                ,         8 ,       1237 ,CAR 44 (HAM) TIME 1:35.866 DELETED - TRACK LIMITS AT TURN 2 LAP 7 14:13:17                                                                                        ,       ,       ,       9531
Other     ,2024-06-09 18:14:56+00:00 ,              ,                ,         8 ,       1237 ,CAR 14 (ALO) TIME 1:36.320 DELETED - TRACK LIMITS AT PIT ENTRY LAP 6 14:13:01                                                                                     ,       ,       ,       9531
Other     ,2024-06-09 18:16:38+00:00 ,              ,                ,         9 ,       1237 ,INCIDENT INVOLVING CAR 3 (RIC) NOTED - FALSE START                                                                                                                ,       ,       ,       9531
Other     ,2024-06-09 18:19:20+00:00 ,              ,                ,        11 ,       1237 ,FIA STEWARDS: INCIDENT INVOLVING CAR 3 (RIC) UNDER INVESTIGATION - FALSE START                                                                                    ,       ,       ,       9531
Other     ,2024-06-09 18:21:12+00:00 ,              ,                ,        12 ,       1237 ,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FALSE START                                                                                                 ,       ,       ,       9531
Other     ,2024-06-09 18:24:37+00:00 ,              ,                ,        14 ,       1237 ,CAR 2 (SAR) TIME 1:32.818 DELETED - TRACK LIMITS AT TURN 1 LAP 13 14:23:05                                                                                        ,       ,       ,       9531
Drs       ,2024-06-09 18:29:17+00:00 ,              ,                ,        18 ,       1237 ,DRS ENABLED                                                                                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 18:29:20+00:00 ,              ,                ,        18 ,       1237 ,CAR 1 (VER) TIME 1:29.256 DELETED - TRACK LIMITS AT TURN 2 LAP 17 14:27:55                                                                                        ,       ,       ,       9531
Other     ,2024-06-09 18:31:20+00:00 ,              ,                ,        19 ,       1237 ,CAR 23 (ALB) TIME 1:28.734 DELETED - TRACK LIMITS AT TURN 14 LAP 17 14:29:59                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:33:35+00:00 ,              ,                ,        21 ,       1237 ,TURN 13 INCIDENT INVOLVING CARS 22 (TSU) AND 23 (ALB) NOTED                                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 18:36:26+00:00 ,              ,                ,        23 ,       1237 ,TURN 14 INCIDENT INVOLVING CARS 63 (RUS) AND 1 (VER) NOTED - REJOINING UNSAFELY                                                                                   ,       ,       ,       9531
Other     ,2024-06-09 18:37:17+00:00 ,              ,                ,        23 ,       1237 ,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 22 (TSU) AND 23 (ALB) REVIEWED NO FURTHER INVESTIGATION                                                             ,       ,       ,       9531
Other     ,2024-06-09 18:37:29+00:00 ,              ,                ,        23 ,       1237 ,CAR 63 (RUS) TIME 1:28.455 DELETED - TRACK LIMITS AT TURN 14 LAP 21 14:34:54                                                                                      ,       ,       ,       9531
Flag      ,2024-06-09 18:37:52+00:00 ,            2 ,BLUE            ,        24 ,       1237 ,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 14:37:52                                                                                                                 ,Driver ,       ,       9531
Flag      ,2024-06-09 18:38:34+00:00 ,           24 ,BLUE            ,        24 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 14:38:33                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 18:39:41+00:00 ,              ,YELLOW          ,        25 ,       1237 ,YELLOW IN TRACK SECTOR 4                                                                                                                                          ,Sector ,     4 ,       9531
Flag      ,2024-06-09 18:39:42+00:00 ,              ,YELLOW          ,        25 ,       1237 ,YELLOW IN TRACK SECTOR 3                                                                                                                                          ,Sector ,     3 ,       9531
Flag      ,2024-06-09 18:39:52+00:00 ,              ,DOUBLE YELLOW   ,        25 ,       1237 ,DOUBLE YELLOW IN TRACK SECTOR 4                                                                                                                                   ,Sector ,     4 ,       9531
SafetyCar ,2024-06-09 18:40:26+00:00 ,              ,                ,        25 ,       1237 ,SAFETY CAR DEPLOYED                                                                                                                                               ,       ,       ,       9531
Other     ,2024-06-09 18:42:13+00:00 ,              ,                ,        26 ,       1237 ,CAR 11 (PER) TIME 1:31.463 DELETED - TRACK LIMITS AT TURN 9 LAP 21 14:35:23                                                                                       ,       ,       ,       9531
Flag      ,2024-06-09 18:44:45+00:00 ,              ,DOUBLE YELLOW   ,        27 ,       1237 ,DOUBLE YELLOW IN TRACK SECTOR 4                                                                                                                                   ,Sector ,     4 ,       9531
Other     ,2024-06-09 18:45:29+00:00 ,              ,                ,        28 ,       1237 ,RECOVERY VEHICLE ON TRACK AT TURN 4                                                                                                                               ,       ,       ,       9531
Flag      ,2024-06-09 18:47:28+00:00 ,              ,DOUBLE YELLOW   ,        29 ,       1237 ,DOUBLE YELLOW IN TRACK SECTOR 4                                                                                                                                   ,Sector ,     4 ,       9531
SafetyCar ,2024-06-09 18:47:34+00:00 ,              ,                ,        29 ,       1237 ,SAFETY CAR IN THIS LAP                                                                                                                                            ,       ,       ,       9531
Flag      ,2024-06-09 18:47:42+00:00 ,              ,CLEAR           ,        29 ,       1237 ,CLEAR IN TRACK SECTOR 3                                                                                                                                           ,Sector ,     3 ,       9531
Flag      ,2024-06-09 18:47:43+00:00 ,              ,CLEAR           ,        29 ,       1237 ,CLEAR IN TRACK SECTOR 4                                                                                                                                           ,Sector ,     4 ,       9531
Flag      ,2024-06-09 18:49:05+00:00 ,              ,CLEAR           ,        29 ,       1237 ,TRACK CLEAR                                                                                                                                                       ,Track  ,       ,       9531
Flag      ,2024-06-09 18:49:11+00:00 ,              ,YELLOW          ,        29 ,       1237 ,YELLOW IN TRACK SECTOR 15                                                                                                                                         ,Sector ,    15 ,       9531
Flag      ,2024-06-09 18:49:21+00:00 ,              ,CLEAR           ,        29 ,       1237 ,CLEAR IN TRACK SECTOR 15                                                                                                                                          ,Sector ,    15 ,       9531
Other     ,2024-06-09 18:50:11+00:00 ,              ,                ,        30 ,       1237 ,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 63 (RUS) AND 1 (VER) REVIEWED NO FURTHER INVESTIGATION - REJOINING UNSAFELY                                         ,       ,       ,       9531
Drs       ,2024-06-09 18:51:17+00:00 ,              ,                ,        31 ,       1237 ,DRS ENABLED                                                                                                                                                       ,       ,       ,       9531
Drs       ,2024-06-09 18:51:26+00:00 ,              ,                ,        31 ,       1237 ,DRS DISABLED                                                                                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:51:52+00:00 ,              ,                ,        31 ,       1237 ,CAR 16 (LEC) TIME 1:44.706 DELETED - TRACK LIMITS AT TURN 4 LAP 30 14:50:18                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 18:53:13+00:00 ,              ,                ,        32 ,       1237 ,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1                                                                                                                          ,       ,       ,       9531
Flag      ,2024-06-09 18:53:16+00:00 ,              ,CLEAR           ,        32 ,       1237 ,CLEAR IN TRACK SECTOR 1                                                                                                                                           ,Sector ,     1 ,       9531
Other     ,2024-06-09 18:54:22+00:00 ,              ,                ,        33 ,       1237 ,CAR 27 (HUL) TIME 1:35.980 DELETED - TRACK LIMITS AT TURN 14 LAP 31 14:52:43                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:54:29+00:00 ,              ,                ,        33 ,       1237 ,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 31 14:52:46 (PIT)                                                                                           ,       ,       ,       9531
Other     ,2024-06-09 18:57:04+00:00 ,              ,                ,        35 ,       1237 ,"TURN 10 INCIDENT INVOLVING CARS 55 (SAI), 77 (BOT) AND 3 (RIC) NOTED - CAUSING A COLLISION"                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:57:27+00:00 ,              ,                ,        35 ,       1237 ,CAR 14 (ALO) TIME 1:31.726 DELETED - TRACK LIMITS AT TURN 14 LAP 32 14:54:03                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:57:45+00:00 ,              ,                ,        35 ,       1237 ,CAR 20 (MAG) TIME 1:32.202 DELETED - TRACK LIMITS AT TURN 14 LAP 32 14:54:13                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:57:58+00:00 ,              ,                ,        35 ,       1237 ,CAR 11 (PER) TIME 1:32.347 DELETED - TRACK LIMITS AT TURN 14 LAP 32 14:54:14                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:58:13+00:00 ,              ,                ,        35 ,       1237 ,CAR 16 (LEC) TIME 1:34.347 DELETED - TRACK LIMITS AT TURN 14 LAP 32 14:55:22                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:58:34+00:00 ,              ,                ,        36 ,       1237 ,CAR 18 (STR) TIME 1:29.836 DELETED - TRACK LIMITS AT TURN 14 LAP 34 14:57:07                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 18:58:36+00:00 ,              ,                ,        36 ,       1237 ,CAR 23 (ALB) TIME 1:29.966 DELETED - TRACK LIMITS AT TURN 14 LAP 34 14:57:07                                                                                      ,       ,       ,       9531
Flag      ,2024-06-09 18:59:27+00:00 ,           16 ,BLUE            ,        36 ,       1237 ,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 14:59:27                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 18:59:47+00:00 ,           16 ,BLUE            ,        36 ,       1237 ,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 14:59:46                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 18:59:57+00:00 ,           16 ,BLUE            ,        37 ,       1237 ,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 14:59:56                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:00:02+00:00 ,           16 ,BLUE            ,        37 ,       1237 ,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 15:00:02                                                                                                                ,Driver ,       ,       9531
Other     ,2024-06-09 19:00:04+00:00 ,              ,                ,        37 ,       1237 ,"FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 55 (SAI), 77 (BOT) AND 3 (RIC) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION"                            ,       ,       ,       9531
Drs       ,2024-06-09 19:04:11+00:00 ,              ,                ,        40 ,       1237 ,DRS ENABLED                                                                                                                                                       ,       ,       ,       9531
Flag      ,2024-06-09 19:06:38+00:00 ,              ,YELLOW          ,        41 ,       1237 ,YELLOW IN TRACK SECTOR 2                                                                                                                                          ,Sector ,     2 ,       9531
Flag      ,2024-06-09 19:06:41+00:00 ,              ,CLEAR           ,        41 ,       1237 ,CLEAR IN TRACK SECTOR 2                                                                                                                                           ,Sector ,     2 ,       9531
Flag      ,2024-06-09 19:08:02+00:00 ,           16 ,BLUE            ,        42 ,       1237 ,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 15:08:02                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:08:17+00:00 ,           16 ,BLUE            ,        42 ,       1237 ,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 15:08:17                                                                                                                ,Driver ,       ,       9531
Other     ,2024-06-09 19:08:50+00:00 ,              ,                ,        43 ,       1237 ,TURN 1 INCIDENT INVOLVING CAR 4 (NOR) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE                                                                          ,       ,       ,       9531
Other     ,2024-06-09 19:09:31+00:00 ,              ,                ,        43 ,       1237 ,CAR 10 (GAS) TIME 1:40.549 DELETED - TRACK LIMITS AT TURN 6 LAP 41 15:06:58                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 19:09:34+00:00 ,              ,                ,        43 ,       1237 ,CAR 4 (NOR) TIME 1:24.928 DELETED - TRACK LIMITS AT TURN 1 LAP 42 15:07:09                                                                                        ,       ,       ,       9531
Other     ,2024-06-09 19:12:36+00:00 ,              ,                ,        45 ,       1237 ,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 4 (NOR) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE                                              ,       ,       ,       9531
Flag      ,2024-06-09 19:13:25+00:00 ,           24 ,BLUE            ,        46 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:13:24                                                                                                                ,Driver ,       ,       9531
Other     ,2024-06-09 19:13:55+00:00 ,              ,                ,        46 ,       1237 ,CAR 10 (GAS) TIME 1:24.981 DELETED - TRACK LIMITS AT TURN 14 LAP 44 15:12:08                                                                                      ,       ,       ,       9531
Flag      ,2024-06-09 19:15:00+00:00 ,           24 ,BLUE            ,        47 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:15:00                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:15:10+00:00 ,           24 ,BLUE            ,        47 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:15:10                                                                                                                ,Driver ,       ,       9531
Other     ,2024-06-09 19:15:27+00:00 ,              ,                ,        47 ,       1237 ,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 4 (NOR) NO FURTHER ACTION - LEAVING THE TRACK AND GAINING AN ADVANTAGE                                                ,       ,       ,       9531
Flag      ,2024-06-09 19:15:37+00:00 ,           24 ,BLUE            ,        47 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:15:36                                                                                                                ,Driver ,       ,       9531
Other     ,2024-06-09 19:15:42+00:00 ,              ,                ,        47 ,       1237 ,NORMAL GRIP CONDITIONS                                                                                                                                            ,       ,       ,       9531
Flag      ,2024-06-09 19:15:51+00:00 ,           24 ,BLUE            ,        48 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:15:51                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:16:21+00:00 ,           24 ,BLUE            ,        48 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:16:20                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:16:46+00:00 ,           24 ,BLUE            ,        48 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:16:45                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:17:07+00:00 ,           24 ,BLUE            ,        49 ,       1237 ,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:17:06                                                                                                                ,Driver ,       ,       9531
Flag      ,2024-06-09 19:17:44+00:00 ,              ,YELLOW          ,        49 ,       1237 ,YELLOW IN TRACK SECTOR 6                                                                                                                                          ,Sector ,     6 ,       9531
Flag      ,2024-06-09 19:17:48+00:00 ,              ,CLEAR           ,        49 ,       1237 ,CLEAR IN TRACK SECTOR 6                                                                                                                                           ,Sector ,     6 ,       9531
Other     ,2024-06-09 19:18:28+00:00 ,              ,                ,        50 ,       1237 ,CAR 3 (RIC) TIME 1:24.303 DELETED - TRACK LIMITS AT TURN 1 LAP 48 15:16:25                                                                                        ,       ,       ,       9531
Other     ,2024-06-09 19:18:55+00:00 ,              ,                ,        50 ,       1237 ,CAR 44 (HAM) TIME 1:23.219 DELETED - TRACK LIMITS AT TURN 7 LAP 49 15:17:44                                                                                       ,       ,       ,       9531
Flag      ,2024-06-09 19:22:11+00:00 ,              ,YELLOW          ,        52 ,       1237 ,YELLOW IN TRACK SECTOR 6                                                                                                                                          ,Sector ,     6 ,       9531
Flag      ,2024-06-09 19:22:18+00:00 ,              ,CLEAR           ,        52 ,       1237 ,CLEAR IN TRACK SECTOR 6                                                                                                                                           ,Sector ,     6 ,       9531
Other     ,2024-06-09 19:23:06+00:00 ,              ,                ,        53 ,       1237 ,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10                                                                                                                         ,       ,       ,       9531
Flag      ,2024-06-09 19:23:30+00:00 ,              ,YELLOW          ,        53 ,       1237 ,YELLOW IN TRACK SECTOR 6                                                                                                                                          ,Sector ,     6 ,       9531
Flag      ,2024-06-09 19:23:46+00:00 ,              ,DOUBLE YELLOW   ,        54 ,       1237 ,DOUBLE YELLOW IN TRACK SECTOR 6                                                                                                                                   ,Sector ,     6 ,       9531
Flag      ,2024-06-09 19:23:49+00:00 ,              ,YELLOW          ,        54 ,       1237 ,YELLOW IN TRACK SECTOR 5                                                                                                                                          ,Sector ,     5 ,       9531
SafetyCar ,2024-06-09 19:23:59+00:00 ,              ,                ,        54 ,       1237 ,SAFETY CAR DEPLOYED                                                                                                                                               ,       ,       ,       9531
Flag      ,2024-06-09 19:23:59+00:00 ,              ,CLEAR           ,        54 ,       1237 ,CLEAR IN TRACK SECTOR 10                                                                                                                                          ,Sector ,    10 ,       9531
Other     ,2024-06-09 19:25:38+00:00 ,              ,                ,        55 ,       1237 ,INCIDENT INVOLVING CAR 11 (PER) NOTED - UNSAFE CONDITION                                                                                                          ,       ,       ,       9531
Other     ,2024-06-09 19:25:52+00:00 ,              ,                ,        55 ,       1237 ,RECOVERY VEHICLE ON TRACK AT TURN 7                                                                                                                               ,       ,       ,       9531
Flag      ,2024-06-09 19:29:36+00:00 ,              ,CLEAR           ,        57 ,       1237 ,CLEAR IN TRACK SECTOR 5                                                                                                                                           ,Sector ,     5 ,       9531
Flag      ,2024-06-09 19:29:40+00:00 ,              ,CLEAR           ,        57 ,       1237 ,CLEAR IN TRACK SECTOR 6                                                                                                                                           ,Sector ,     6 ,       9531
Other     ,2024-06-09 19:29:42+00:00 ,              ,                ,        57 ,       1237 ,LAPPED CAR MAY NOW OVERTAKE THE SAFETY CAR: 24                                                                                                                    ,       ,       ,       9531
SafetyCar ,2024-06-09 19:31:31+00:00 ,              ,                ,        58 ,       1237 ,SAFETY CAR IN THIS LAP                                                                                                                                            ,       ,       ,       9531
Other     ,2024-06-09 19:32:22+00:00 ,              ,                ,        58 ,       1237 ,CAR 11 (PER) LAP DELETED - TRACK LIMITS AT TURN 6 LAP 52 15:22:14 (PIT)                                                                                           ,       ,       ,       9531
Flag      ,2024-06-09 19:33:06+00:00 ,              ,CLEAR           ,        58 ,       1237 ,TRACK CLEAR                                                                                                                                                       ,Track  ,       ,       9531
Other     ,2024-06-09 19:34:59+00:00 ,              ,                ,        59 ,       1237 ,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE CONDITION                                                              ,       ,       ,       9531
Drs       ,2024-06-09 19:35:07+00:00 ,              ,                ,        60 ,       1237 ,DRS ENABLED                                                                                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 19:36:13+00:00 ,              ,                ,        60 ,       1237 ,TURN 12 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) NOTED                                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 19:36:37+00:00 ,              ,                ,        61 ,       1237 ,CAR 20 (MAG) TIME 1:23.445 DELETED - TRACK LIMITS AT TURN 14 LAP 52 15:23:07                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 19:36:48+00:00 ,              ,                ,        61 ,       1237 ,CAR 63 (RUS) TIME 1:20.258 DELETED - TRACK LIMITS AT TURN 8 LAP 51 15:20:28                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 19:37:58+00:00 ,              ,                ,        62 ,       1237 ,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) REVIEWED NO FURTHER INVESTIGATION                                                             ,       ,       ,       9531
Other     ,2024-06-09 19:38:47+00:00 ,              ,                ,        62 ,       1237 ,TURN 8 INCIDENT INVOLVING CAR 20 (MAG) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS                                           ,       ,       ,       9531
Other     ,2024-06-09 19:38:49+00:00 ,              ,                ,        62 ,       1237 ,CAR 20 (MAG) TIME 1:21.673 DELETED - TRACK LIMITS AT TURN 9 LAP 60 15:35:56                                                                                       ,       ,       ,       9531
Flag      ,2024-06-09 19:38:58+00:00 ,           20 ,BLACK AND WHITE ,        63 ,       1237 ,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS                                                                                                              ,Driver ,       ,       9531
Other     ,2024-06-09 19:40:36+00:00 ,              ,                ,        64 ,       1237 ,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CAR 20 (MAG) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS ,       ,       ,       9531
Other     ,2024-06-09 19:41:13+00:00 ,              ,                ,        64 ,       1237 ,TURN 13 INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) NOTED - CAUSING A COLLISION                                                                                 ,       ,       ,       9531
Other     ,2024-06-09 19:41:15+00:00 ,              ,                ,        64 ,       1237 ,CAR 63 (RUS) TIME 1:18.447 DELETED - TRACK LIMITS AT TURN 14 LAP 63 15:40:08                                                                                      ,       ,       ,       9531
Other     ,2024-06-09 19:42:16+00:00 ,              ,                ,        65 ,       1237 ,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) UNDER INVESTIGATION - CAUSING A COLLISION                                                     ,       ,       ,       9531
Flag      ,2024-06-09 19:43:46+00:00 ,              ,YELLOW          ,        66 ,       1237 ,YELLOW IN TRACK SECTOR 9                                                                                                                                          ,Sector ,     9 ,       9531
Other     ,2024-06-09 19:43:47+00:00 ,              ,                ,        66 ,       1237 ,DRS DISABLED IN ZONE 1                                                                                                                                            ,       ,       ,       9531
Flag      ,2024-06-09 19:43:49+00:00 ,              ,DOUBLE YELLOW   ,        66 ,       1237 ,DOUBLE YELLOW IN TRACK SECTOR 9                                                                                                                                   ,Sector ,     9 ,       9531
Flag      ,2024-06-09 19:43:51+00:00 ,              ,YELLOW          ,        66 ,       1237 ,YELLOW IN TRACK SECTOR 8                                                                                                                                          ,Sector ,     8 ,       9531
Flag      ,2024-06-09 19:44:07+00:00 ,              ,CLEAR           ,        67 ,       1237 ,CLEAR IN TRACK SECTOR 8                                                                                                                                           ,Sector ,     8 ,       9531
Flag      ,2024-06-09 19:44:10+00:00 ,              ,CLEAR           ,        67 ,       1237 ,CLEAR IN TRACK SECTOR 9                                                                                                                                           ,Sector ,     9 ,       9531
Other     ,2024-06-09 19:44:10+00:00 ,              ,                ,        67 ,       1237 ,DRS ENABLED IN ZONE 1                                                                                                                                             ,       ,       ,       9531
Other     ,2024-06-09 19:44:12+00:00 ,              ,                ,        67 ,       1237 ,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9                                                                                                                          ,       ,       ,       9531
Other     ,2024-06-09 19:46:43+00:00 ,              ,                ,        69 ,       1237 ,CAR 22 (TSU) TIME 1:38.894 DELETED - TRACK LIMITS AT TURN 9 LAP 66 15:43:43                                                                                       ,       ,       ,       9531
Flag      ,2024-06-09 19:46:45+00:00 ,              ,CLEAR           ,        69 ,       1237 ,CLEAR IN TRACK SECTOR 9                                                                                                                                           ,Sector ,     9 ,       9531
Other     ,2024-06-09 19:47:25+00:00 ,              ,                ,        69 ,       1237 ,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION                                     ,       ,       ,       9531
Flag      ,2024-06-09 19:49:00+00:00 ,              ,CHEQUERED       ,        70 ,       1237 ,CHEQUERED FLAG                                                                                                                                                    ,Track  ,       ,       9531
